sample name,peak location (cm^-1),temperature (Celsius),hours dehydrated,traverse direction,raypath direction,position (microns),area (cm^-2) or height (/cm),area/initial or height/initial,FTIR spectrum filename,
SC1-2,total H,800.0,19.0,c,b,-1355.7,13.755,0.611,SC1-2-800C-19hr-c00.csv,
SC1-2,total H,800.0,19.0,c,b,-1205.7,13.215,0.580,SC1-2-800C-19hr-c02.csv,
SC1-2,total H,800.0,19.0,c,b,-1005.7,13.794,0.597,SC1-2-800C-19hr-c04.csv,
SC1-2,total H,800.0,19.0,c,b,-805.7,14.685,0.626,SC1-2-800C-19hr-c06.csv,
SC1-2,total H,800.0,19.0,c,b,-605.7,7.598,0.319,SC1-2-800C-19hr-c08.csv,
SC1-2,total H,800.0,19.0,c,b,-405.7,8.343,0.346,SC1-2-800C-19hr-c10.csv,
SC1-2,total H,800.0,19.0,c,b,-205.7,8.694,0.356,SC1-2-800C-19hr-c12.csv,
SC1-2,total H,800.0,19.0,c,b,194.3,9.077,0.361,SC1-2-800C-19hr-c16.csv,
SC1-2,total H,800.0,19.0,c,b,394.3,9.626,0.378,SC1-2-800C-19hr-c18.csv,
SC1-2,total H,800.0,19.0,c,b,594.3,9.923,0.385,SC1-2-800C-19hr-c20.csv,
SC1-2,total H,800.0,19.0,c,b,794.3,10.104,0.387,SC1-2-800C-19hr-c22.csv,
SC1-2,total H,800.0,19.0,c,b,994.3,11.404,0.431,SC1-2-800C-19hr-c24.csv,
SC1-2,total H,800.0,19.0,c,b,1144.3,12.439,0.466,SC1-2-800C-19hr-c2526.csv,
SC1-2,total H,800.0,19.0,c,b,1355.3,14.013,0.518,SC1-2-800C-19hr-c27.csv,
SC1-2,total H,800.0,43.0,a,b,-1000.0,7.870,0.337,SC1-2-800C-43hr-a01.csv,
SC1-2,total H,800.0,43.0,a,b,-800.0,9.731,0.407,SC1-2-800C-43hr-a03.csv,
SC1-2,total H,800.0,43.0,a,b,-600.0,9.258,0.378,SC1-2-800C-43hr-a05.csv,
SC1-2,total H,800.0,43.0,a,b,-400.0,9.819,0.393,SC1-2-800C-43hr-a07.csv,
SC1-2,total H,800.0,43.0,a,b,-200.0,11.008,0.431,SC1-2-800C-43hr-a09.csv,
SC1-2,total H,800.0,43.0,a,b,0.0,12.211,0.468,SC1-2-800C-43hr-a11.csv,
SC1-2,total H,800.0,43.0,a,b,200.0,12.649,0.475,SC1-2-800C-43hr-a13.csv,
SC1-2,total H,800.0,43.0,a,b,400.0,12.874,0.474,SC1-2-800C-43hr-a15.csv,
SC1-2,total H,800.0,43.0,a,b,600.0,13.111,0.473,SC1-2-800C-43hr-a17.csv,
SC1-2,total H,800.0,43.0,a,b,800.0,13.641,0.483,SC1-2-800C-43hr-a19.csv,
SC1-2,total H,800.0,43.0,a,b,1000.0,12.132,0.421,SC1-2-800C-43hr-a21.csv,
