name,IGSN,Fo #,peak,Celsius,GPa ,fO2Buffer,fO2_log10bars,Experiment,orientation,hours,mechanism,log10D,log10Derror,maximum_val,log10D_estimated,residual_on_estimate
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,1,[Si],-12.9,1,TRUE,-12.2,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,3,[Si],-11.9,1,TRUE,-10.9,-1.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,3,[Si],-13.5,1,TRUE,-12.6,-0.9
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,3,[Si],-13.2,1,TRUE,-12.2,-1.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,7,[Si],-12.4,1,TRUE,-13.5,1.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,7,[Si],-13.9,1,TRUE,-15.2,1.3
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,7,[Si],-13.6,1,TRUE,-14.8,1.2
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,13,[Si],-12.4,1,TRUE,-11.2,-1.2
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,13,[Si],-13.9,1,TRUE,-13.2,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,13,[Si],-13.6,1,TRUE,-12.9,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,19,[Si],-12.6,0.8,FALSE,-11.3,-1.3
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,19,[Si],-14,0.8,FALSE,-13.3,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,19,[Si],-13.7,0.8,FALSE,-12.6,-1.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,43,[Si],-12,0.6,FALSE,-11.9,-0.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,43,[Si],-13.6,0.6,FALSE,-13.6,0.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,43,[Si],-13.3,0.6,FALSE,-13.2,-0.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,68,[Si],-11.8,0.4,FALSE,-11.7,-0.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,68,[Si],-13.4,0.4,FALSE,-13.2,-0.2
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,68,[Si],-13.1,0.4,FALSE,-13.0,-0.1
,,,,,,,,,,,,,,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,1,total,-12.6,1,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,1,total,-14,1,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,1,total,-13.7,1,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,8,total,-12.6,0.6,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,8,total,-14,0.6,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,8,total,-13.7,0.6,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,3,total,-10.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,3,total,-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,3,total,-11.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,6,total,-10.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,6,total,-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,6,total,-11.9,0.4,,,
