name,IGSN,microns,traverse,Fo,Li,MgO,Al,SiO2,P,CaO,Sc,Ti,V,Cr,MnO,FeO,Co,Ni,Cu,Zn
SC1-2,IEFERJAI4,1020,a-axis,88.678,,47.683,,38.784,54.460,,4.081,40.407,2.668,104.204,0.152,10.852,143.335,2500,,77.247
SC1-2,IEFERJAI4,1003,a-axis,88.909,,47.056,,38.784,51.659,,3.519,40.856,2.798,99.580,0.150,10.463,136.947,2366,,75.726
SC1-2,IEFERJAI4,985,a-axis,88.759,,46.284,,38.784,51.500,,3.896,40.944,2.525,100.437,0.147,10.448,137.249,2394,,74.202
SC1-2,IEFERJAI4,968,a-axis,88.874,,46.350,,38.784,49.428,,4.144,40.881,2.743,101.241,0.148,10.343,136.728,2401,,73.604
SC1-2,IEFERJAI4,951,a-axis,88.920,,47.308,,38.784,45.450,,3.996,40.431,2.372,100.936,0.152,10.508,137.231,2394,,74.038
SC1-2,IEFERJAI4,933,a-axis,89.031,,46.983,,38.784,51.439,,3.848,40.536,2.638,101.844,0.151,10.317,137.683,2420,,74.481
SC1-2,IEFERJAI4,916,a-axis,88.897,,47.593,,38.784,55.091,,3.873,40.690,2.654,102.401,0.153,10.595,138.420,2451,,73.673
SC1-2,IEFERJAI4,899,a-axis,88.942,,47.284,,38.784,55.246,,4.081,41.253,2.695,100.019,0.155,10.479,138.505,2430,,73.646
SC1-2,IEFERJAI4,882,a-axis,88.919,,47.383,,38.784,47.814,,3.812,41.303,2.748,101.235,0.152,10.525,138.427,2406,,72.797
SC1-2,IEFERJAI4,864,a-axis,89.009,,46.265,,38.784,52.618,,3.968,40.333,2.519,100.918,0.147,10.183,135.516,2353,,73.685
SC1-2,IEFERJAI4,847,a-axis,89.031,,47.125,,38.784,49.575,,3.840,40.907,2.566,99.458,0.147,10.349,137.085,2365,,78.077
SC1-2,IEFERJAI4,830,a-axis,88.998,,46.956,,38.784,51.139,,3.900,40.972,2.495,101.123,0.149,10.347,138.676,2399,,71.568
SC1-2,IEFERJAI4,813,a-axis,88.896,,47.309,,38.784,49.205,,4.102,41.975,2.628,100.577,0.151,10.533,137.863,2356,,74.265
SC1-2,IEFERJAI4,795,a-axis,89.043,,46.772,,38.784,55.808,,3.908,42.136,2.517,99.781,0.148,10.259,135.437,2366,,75.347
SC1-2,IEFERJAI4,778,a-axis,89.031,,47.095,,38.784,50.104,,3.919,39.293,2.624,102.030,0.150,10.342,136.323,2361,,75.747
SC1-2,IEFERJAI4,761,a-axis,88.885,,47.042,,38.784,49.545,,4.146,40.378,2.687,101.117,0.148,10.485,136.135,2390,,76.418
SC1-2,IEFERJAI4,743,a-axis,88.964,,47.111,,38.784,45.723,,3.860,40.714,2.597,98.268,0.152,10.417,135.836,2362,,75.138
